"tower_id","city","mode_operator","distinct_operator_count","mode_state","distinct_state_count","mode_network_type","distinct_network_type_count","total_observations","avg_uptime_percentage","total_downtime_minutes","total_outage_count","total_users_affected","impactful_outage_observations","repeat_outage_indicator"
"ABA-1088","Aba","9mobile","1","Sokoto","1","3G","1","1","92.49","108.14","4","130","1",0
"ABA-1089","Aba","Glo","1","Zamfara","1","3G","1","2","86.92","376.85","8","741","2",1
"ABA-1091","Aba","MTN","1","Kogi","1","4G","1","1","97.74","32.54","3","0","0",0
"ABA-1092","Aba","Glo","1","Anambra","2","4G","1","2","89.81","293.61","8","277","2",1
"ABA-1098","Aba","MTN","1","Abia","1","4G","1","1","94.14","84.38","4","420","1",0
"ABA-1100","Aba","9mobile","1","Katsina","1","4G","1","1","93.10","99.36","1","354","1",0
"ABA-1101","Aba","9mobile","1","Niger","1","4G","1","1","89.21","155.38","0","74","1",0
"ABA-1102","Aba","9mobile","1","Ekiti","1","4G","1","1","86.73","191.09","4","320","1",0
"ABA-1103","Aba","MTN","1","Niger","1","4G","1","1","93.64","91.58","1","334","1",0
"ABA-1104","Aba","9mobile","2","Bayelsa","2","3G","2","2","90.48","274.18","8","483","2",1
"ABA-1106","Aba","Airtel","1","Taraba","1","4G","1","1","99.94","0.86","0","0","0",0
"ABA-1107","Aba","Glo","2","Nasarawa","2","2G","2","2","93.94","174.67","4","371","1",0
"ABA-1110","Aba","MTN","1","Yobe","1","5G","1","1","94.82","74.59","3","444","1",0
"ABA-1112","Aba","Glo","1","Katsina","2","3G","2","2","96.65","96.62","3","0","0",0
"ABA-1113","Aba","9mobile","1","Borno","1","4G","1","1","89.04","157.82","2","346","1",0
"ABA-1115","Aba","Airtel","2","Kano","2","2G","2","2","91.08","256.90","7","696","2",1
"ABA-1116","Aba","Glo","1","Benue","1","3G","2","2","87.59","357.41","6","591","2",1
"ABA-1118","Aba","Glo","2","Gombe","2","3G","2","2","88.90","319.68","6","356","2",1
"ABA-1120","Aba","Glo","1","Akwa Ibom","1","4G","1","1","97.37","37.87","3","0","0",0
"ABA-1122","Aba","Airtel","3","Enugu","3","5G","2","3","91.39","372.09","7","557","2",1
"ABA-1123","Aba","MTN","1","Osun","1","4G","1","1","92.03","114.77","3","409","1",0
"ABA-1126","Aba","9mobile","3","Jigawa","3","4G","2","3","91.94","348.05","7","501","2",1
"ABA-1127","Aba","Glo","1","Abia","1","4G","1","1","94.04","85.82","4","341","1",0
"ABA-1129","Aba","Airtel","1","Katsina","1","4G","1","1","99.34","9.50","0","0","0",0
"ABA-1131","Aba","Glo","2","Gombe","3","4G","1","3","96.25","162.14","6","463","1",0
"ABA-1137","Aba","Airtel","1","Niger","1","4G","1","1","87.26","183.46","5","179","1",0
"ABA-1139","Aba","Glo","1","Rivers","1","3G","1","1","91.01","129.46","2","197","1",0
"ABA-1142","Aba","9mobile","1","Borno","2","4G","1","2","95.49","129.89","5","422","1",0
"ABA-1146","Aba","Airtel","2","Enugu","2","3G","2","2","91.52","244.37","5","540","2",1
"ABA-1147","Aba","MTN","1","Kebbi","1","5G","1","1","99.24","10.94","0","0","0",0
"ABA-1148","Aba","Glo","1","Ekiti","2","3G","1","2","87.62","356.55","6","577","2",1
"ABA-1149","Aba","9mobile","1","Yobe","1","4G","1","1","90.17","141.55","1","332","1",0
"ABA-1150","Aba","MTN","1","Kaduna","1","4G","1","1","86.42","195.55","2","215","1",0
"ABA-1151","Aba","9mobile","1","Anambra","2","4G","1","2","92.41","218.59","3","260","1",0
"ABA-1152","Aba","MTN","1","Delta","1","4G","1","1","96.53","49.97","3","0","0",0
"ABA-1154","Aba","9mobile","1","Kaduna","1","4G","1","1","87.01","187.06","2","271","1",0
"ABA-1155","Aba","9mobile","1","Plateau","1","4G","1","1","88.90","159.84","3","430","1",0
"ABA-1158","Aba","Glo","1","Oyo","1","4G","1","1","86.80","190.08","4","233","1",0
"ABA-1159","Aba","Airtel","1","Gombe","2","4G","1","2","88.88","320.26","4","737","2",1
"ABA-1160","Aba","9mobile","1","Niger","1","4G","1","1","96.66","48.10","3","0","0",0
"ABA-1161","Aba","9mobile","3","Enugu","3","4G","2","3","89.18","467.42","5","691","3",1
"ABA-1162","Aba","9mobile","2","Jigawa","2","4G","1","2","92.59","213.55","7","255","1",0
"ABA-1163","Aba","Airtel","1","Imo","1","4G","1","1","90.37","138.67","1","263","1",0
"ABA-1164","Aba","Airtel","1","Ogun","1","3G","1","1","95.67","62.35","1","0","0",0
"ABA-1166","Aba","9mobile","2","Katsina","2","3G","2","2","88.20","339.99","5","369","2",1
"ABA-1167","Aba","Airtel","2","Benue","2","3G","1","2","92.65","211.68","5","772","2",1
"ABA-1170","Aba","9mobile","2","Jigawa","2","4G","1","2","94.36","162.43","4","108","1",0
"ABA-1172","Aba","Glo","1","Yobe","1","4G","1","1","89.85","146.16","0","377","1",0
"ABA-1174","Aba","9mobile","1","Katsina","1","3G","1","1","86.11","200.02","5","389","1",0
"ABA-1175","Aba","Glo","2","Bauchi","2","4G","1","2","94.94","145.87","6","88","1",0
"ABA-1176","Aba","9mobile","2","Gombe","2","4G","1","2","93.84","177.41","3","486","1",0
"ABA-1177","Aba","Glo","1","Osun","1","2G","1","1","88.12","171.07","4","491","1",0
"ABA-1178","Aba","Glo","1","Delta","1","3G","1","1","86.74","190.94","4","417","1",0
"ABA-1179","Aba","Glo","1","Ebonyi","1","4G","1","1","97.02","42.91","1","0","0",0
"ABA-1180","Aba","Airtel","2","Enugu","2","4G","1","2","87.55","358.70","6","424","2",1
"ABA-1181","Aba","Glo","1","Cross River","1","5G","1","1","85.48","209.09","5","251","1",0
"ABA-1184","Aba","9mobile","1","Edo","1","4G","1","1","88.32","168.19","0","59","1",0
"ABA-1186","Aba","Airtel","2","Ebonyi","2","4G","1","2","87.48","360.72","3","784","2",1
"ABA-1187","Aba","Airtel","3","Delta","3","4G","2","3","90.85","395.42","8","718","3",1
"ABA-1188","Aba","Glo","2","Kaduna","2","4G","1","2","94.52","157.83","2","148","1",0
"ABA-1190","Aba","Glo","2","Oyo","1","3G","2","2","94.02","172.37","6","691","2",1
"ABA-1192","Aba","9mobile","1","Cross River","1","4G","1","1","98.69","18.86","5","0","0",0
"ABA-1194","Aba","9mobile","2","Borno","2","4G","1","2","93.05","200.30","3","557","2",1
"ABA-1195","Aba","9mobile","2","Ekiti","2","3G","2","2","90.47","274.60","1","603","2",1
"ABA-1196","Aba","9mobile","1","Zamfara","1","4G","1","1","86.80","190.08","4","393","1",0
"ABA-1197","Aba","MTN","1","Adamawa","1","4G","1","1","91.86","117.22","1","161","1",0
"ABA-1198","Aba","MTN","1","Abia","1","4G","1","1","88.33","168.05","0","333","1",0
"ABA-1199","Aba","MTN","1","Niger","1","4G","1","1","85.26","212.26","2","304","1",0
"ABA-1204","Aba","MTN","1","Taraba","1","4G","1","1","86.42","195.55","2","136","1",0
"ABA-1205","Aba","Airtel","1","Bauchi","1","4G","1","1","95.01","71.86","0","0","0",0
"ABA-1208","Aba","Airtel","2","Akwa Ibom","2","3G","2","2","90.62","270.14","7","303","1",0
"ABA-1211","Aba","MTN","1","Delta","1","4G","1","1","95.72","61.63","2","0","0",0
"ABA-1212","Aba","9mobile","2","Edo","2","4G","1","2","95.46","130.90","8","201","1",0
"ABA-1215","Aba","MTN","1","Gombe","1","4G","1","1","92.62","106.27","5","347","1",0
"ABA-1217","Aba","Glo","1","Cross River","1","3G","1","1","95.32","67.39","4","0","0",0
"ABA-1219","Aba","MTN","1","Kwara","1","3G","1","1","98.95","15.12","2","0","0",0
"ABA-1220","Aba","Airtel","1","Akwa Ibom","1","4G","1","1","95.98","57.89","5","0","0",0
"ABA-1221","Aba","Airtel","2","Borno","2","4G","1","2","93.20","195.98","6","106","1",0
"ABA-1222","Aba","Airtel","1","Katsina","1","4G","1","1","86.42","195.55","5","472","1",0
"ABA-1224","Aba","9mobile","2","Nasarawa","2","4G","1","2","86.45","390.38","9","218","2",1
"ABA-1226","Aba","9mobile","2","Bauchi","3","3G","2","3","89.34","460.36","13","648","2",1
"ABA-1227","Aba","9mobile","2","Akwa Ibom","3","4G","1","3","96.86","135.79","3","375","1",0
"ABA-1228","Aba","Glo","1","Anambra","1","4G","1","1","97.55","35.28","4","0","0",0
"ABA-1230","Aba","9mobile","1","Ogun","1","4G","1","1","94.16","84.10","4","158","1",0
"ABA-1240","Aba","Glo","2","Rivers","2","2G","2","2","97.09","83.80","5","0","0",0
"ABA-1241","Aba","MTN","1","Ebonyi","1","4G","1","1","92.65","105.84","1","455","1",0
"ABA-1244","Aba","Glo","1","Kogi","1","4G","1","1","89.15","156.24","0","430","1",0
"ABA-1245","Aba","Airtel","1","Rivers","1","4G","1","1","95.65","62.64","1","0","0",0
"ABA-1248","Aba","Glo","1","Imo","1","4G","1","1","94.10","84.96","3","342","1",0
"ABA-1249","Aba","Glo","1","Kaduna","1","4G","1","1","88.30","168.48","3","369","1",0
"ABA-1250","Aba","Glo","1","Ebonyi","1","4G","1","1","88.96","158.98","5","127","1",0
"ABA-1255","Aba","Airtel","1","Anambra","2","2G","2","2","96.90","89.28","0","0","0",0
"ABA-1258","Aba","9mobile","1","Kano","1","4G","1","1","85.96","202.18","5","433","1",0
"ABA-1261","Aba","9mobile","1","Imo","1","4G","1","1","97.01","43.06","3","0","0",0
"ABA-1267","Aba","Glo","1","Kogi","1","3G","1","1","87.59","178.70","1","165","1",0
"ABA-1268","Aba","Airtel","1","Plateau","1","4G","1","1","99.69","4.46","0","0","0",0
"ABA-1270","Aba","MTN","1","Bauchi","2","3G","2","2","96.53","100.08","5","119","1",0
"ABA-1271","Aba","Airtel","2","Benue","2","4G","1","2","91.96","231.55","3","540","2",1
"ABA-1275","Aba","MTN","1","Osun","1","3G","1","1","99.68","4.61","0","0","0",0
"ABA-1276","Aba","MTN","1","Borno","1","2G","1","1","88.93","159.41","5","310","1",0
"ABA-1284","Aba","Airtel","2","Nasarawa","2","4G","1","2","94.38","161.85","6","198","1",0
"ABA-1285","Aba","9mobile","1","Oyo","1","5G","1","1","89.56","150.34","5","336","1",0
"ABA-1286","Aba","Glo","2","Ekiti","2","3G","2","2","88.73","324.58","1","221","2",1
"ABA-1287","Aba","Airtel","1","Adamawa","1","4G","1","1","96.75","46.80","3","0","0",0
"ABA-1288","Aba","Airtel","1","Bayelsa","1","3G","1","1","85.18","213.41","4","258","1",0
"ABA-1291","Aba","Airtel","1","Edo","1","4G","1","1","90.99","129.74","3","113","1",0
"ABA-1293","Aba","Glo","1","Zamfara","1","4G","1","1","93.45","94.32","5","322","1",0
"ABA-1294","Aba","9mobile","1","Rivers","1","3G","1","1","99.91","1.30","0","0","0",0
"ABA-1295","Aba","Glo","2","Borno","2","4G","1","2","93.13","197.85","8","408","1",0
"ABA-1296","Aba","Airtel","1","Imo","1","4G","1","1","92.10","113.76","2","83","1",0
"ABA-1297","Aba","Glo","1","Kwara","2","3G","1","2","89.70","296.64","5","490","2",1
"ABA-1298","Aba","Airtel","1","Oyo","1","4G","1","1","92.51","107.86","2","103","1",0
"ABA-1303","Aba","9mobile","1","Anambra","2","3G","2","2","94.38","161.85","10","379","1",0
"ABA-1305","Aba","Glo","1","Lagos","1","4G","1","1","92.55","107.28","5","409","1",0
"ABA-1306","Aba","Glo","1","Ogun","1","4G","1","1","87.59","178.70","0","329","1",0
"ABA-1308","Aba","Airtel","2","Abia","2","2G","2","2","89.17","311.91","6","558","2",1
"ABA-1313","Aba","Airtel","1","Akwa Ibom","1","2G","1","1","95.75","61.20","4","0","0",0
"ABA-1316","Aba","MTN","1","Borno","1","4G","1","1","91.86","117.22","4","143","1",0
"ABA-1321","Aba","MTN","1","Borno","1","4G","1","1","88.35","167.76","3","130","1",0
"ABA-1322","Aba","9mobile","1","Niger","1","3G","1","1","98.09","27.50","4","0","0",0
"ABA-1323","Aba","9mobile","2","Kebbi","2","4G","1","2","91.95","231.99","9","398","2",1
"ABA-1325","Aba","Glo","2","Benue","2","3G","2","2","95.42","131.91","0","53","1",0
"ABA-1326","Aba","Glo","1","Anambra","2","2G","2","2","89.71","296.50","4","387","2",1
"ABA-1328","Aba","9mobile","1","Oyo","1","4G","1","1","89.79","147.02","2","318","1",0
"ABA-1333","Aba","Glo","2","Katsina","2","4G","1","2","89.89","291.17","0","300","2",1
"ABA-1334","Aba","Glo","1","Ebonyi","1","3G","1","1","90.84","131.90","4","371","1",0
"ABA-1337","Aba","Airtel","1","Delta","1","3G","1","1","86.08","200.45","3","343","1",0
"ABA-1338","Aba","Glo","1","Imo","1","4G","1","1","90.40","138.24","3","333","1",0
"ABA-1339","Aba","Glo","1","Osun","1","4G","1","1","98.85","16.56","3","0","0",0
"ABA-1343","Aba","Airtel","1","Katsina","1","4G","1","1","90.95","130.32","2","402","1",0
"ABA-1344","Aba","Airtel","1","Cross River","1","3G","1","1","93.85","88.56","5","143","1",0
"ABA-1346","Aba","Glo","1","Cross River","1","4G","1","1","95.08","70.85","4","0","0",0
"ABA-1347","Aba","9mobile","2","Cross River","2","4G","1","2","94.35","162.72","3","255","1",0
"ABA-1348","Aba","Glo","1","Edo","1","3G","1","1","97.40","37.44","2","0","0",0
"ABA-1349","Aba","MTN","1","Ebonyi","1","4G","1","1","91.91","116.50","1","75","1",0
"ABA-1351","Aba","MTN","1","Imo","2","3G","2","2","91.47","245.81","8","303","1",0
"ABA-1352","Aba","Airtel","1","Bayelsa","1","3G","1","1","94.84","74.30","1","170","1",0
"ABA-1357","Aba","Glo","1","Oyo","1","4G","1","1","96.87","45.07","3","0","0",0
"ABA-1360","Aba","Glo","1","Anambra","1","3G","1","1","91.90","116.64","2","90","1",0
"ABA-1362","Aba","9mobile","1","Niger","1","3G","1","1","90.78","132.77","3","220","1",0
"ABA-1363","Aba","9mobile","1","FCT","1","3G","1","1","91.36","124.42","1","318","1",0
"ABA-1365","Aba","MTN","1","Taraba","1","4G","1","1","96.63","48.53","0","0","0",0
"ABA-1367","Aba","Airtel","1","Edo","1","4G","1","1","94.81","74.74","2","226","1",0
"ABA-1369","Aba","Glo","1","Kebbi","1","4G","1","1","97.24","39.74","3","0","0",0
"ABA-1370","Aba","MTN","1","Osun","1","4G","1","1","96.84","45.50","5","0","0",0
"ABA-1374","Aba","9mobile","2","Gombe","2","4G","2","2","88.39","334.37","6","791","2",1
"ABA-1376","Aba","Glo","1","Bauchi","2","4G","1","2","95.52","129.03","0","234","1",0
"ABA-1380","Aba","MTN","1","Taraba","1","5G","1","1","96.95","43.92","3","0","0",0
"ABA-1381","Aba","Glo","1","Katsina","1","4G","1","1","96.20","54.72","2","0","0",0
"ABA-1383","Aba","MTN","1","Cross River","1","3G","1","1","96.78","46.37","3","0","0",0
"ABA-1384","Aba","9mobile","2","Bauchi","2","3G","2","2","94.85","148.32","7","101","1",0
"ABA-1385","Aba","MTN","1","Osun","1","4G","1","1","86.03","201.17","3","266","1",0
"ABA-1387","Aba","Airtel","1","Ogun","1","4G","1","1","99.05","13.68","0","0","0",0
"ABA-1388","Aba","Airtel","1","Gombe","1","4G","1","1","93.83","88.85","2","375","1",0
"ABA-1389","Aba","Airtel","1","Kaduna","1","4G","1","1","97.22","40.03","5","0","0",0
"ABA-1390","Aba","Airtel","1","Katsina","1","4G","1","1","98.89","15.98","2","0","0",0
"ABA-1391","Aba","MTN","1","Ondo","1","4G","1","1","95.07","70.99","1","0","0",0
"ABA-1392","Aba","MTN","1","Ogun","1","4G","1","1","85.08","214.85","3","354","1",0
"ABA-1399","Aba","9mobile","3","Ekiti","2","4G","2","3","90.17","424.51","7","177","2",1
"ABA-1400","Aba","9mobile","1","Oyo","1","3G","1","1","88.73","162.29","0","119","1",0
"ABA-1401","Aba","MTN","1","Osun","1","3G","1","1","91.75","118.80","1","484","1",0
"ABA-1403","Aba","Glo","3","Anambra","4","4G","2","4","92.26","445.82","9","588","2",1
"ABA-1405","Aba","Airtel","1","Taraba","1","2G","1","1","89.50","151.20","0","459","1",0
"ABA-1407","Aba","MTN","1","Rivers","1","2G","1","1","99.21","11.38","0","0","0",0
"ABA-1411","Aba","MTN","1","Imo","1","2G","1","1","90.64","134.78","2","191","1",0
"ABA-1412","Aba","Glo","1","Zamfara","1","3G","1","1","91.44","123.26","4","165","1",0
"ABA-1413","Aba","9mobile","3","Gombe","3","4G","1","3","91.53","366.05","5","405","3",1
"ABA-1415","Aba","MTN","1","Ebonyi","1","4G","1","1","85.34","211.10","4","103","1",0
"ABA-1417","Aba","Airtel","2","Benue","2","4G","2","2","87.88","349.06","4","894","2",1
"ABA-1420","Aba","Glo","1","Kaduna","1","4G","1","1","91.48","122.69","0","215","1",0
"ABA-1422","Aba","9mobile","1","FCT","1","3G","1","1","95.93","58.61","4","0","0",0
"ABA-1429","Aba","Glo","2","Adamawa","2","3G","2","2","93.39","190.37","2","282","1",0
"ABA-1430","Aba","9mobile","2","Bayelsa","2","4G","2","2","90.74","266.68","9","866","2",1
"ABA-1431","Aba","9mobile","3","Cross River","4","4G","2","4","92.91","408.25","9","341","2",1
"ABA-1436","Aba","Airtel","1","Ogun","1","4G","1","1","90.75","133.20","3","451","1",0
"ABA-1439","Aba","MTN","1","Enugu","1","4G","1","1","95.19","69.26","0","0","0",0
"ABA-1441","Aba","9mobile","1","Nasarawa","1","4G","1","1","87.26","183.46","0","336","1",0
"ABA-1444","Aba","Airtel","2","Ekiti","2","2G","2","2","92.31","221.62","3","330","1",0
"ABA-1446","Aba","MTN","2","Bauchi","3","3G","3","3","96.85","136.23","7","0","0",0
"ABA-1447","Aba","Airtel","2","Akwa Ibom","2","3G","2","2","89.52","301.83","5","640","2",1
"ABA-1452","Aba","MTN","1","Anambra","1","4G","1","1","97.34","38.30","1","0","0",0
"ABA-1453","Aba","MTN","1","Plateau","1","5G","1","1","99.26","10.66","0","0","0",0
"ABA-1454","Aba","Airtel","2","Kebbi","2","3G","2","2","87.49","360.29","6","485","2",1
"ABA-1458","Aba","MTN","1","Cross River","1","3G","1","1","96.28","53.57","5","0","0",0
"ABA-1459","Aba","Glo","2","Borno","2","3G","2","2","90.70","267.98","8","682","2",1
"ABA-1463","Aba","Airtel","2","Edo","2","3G","2","2","95.57","127.73","1","0","0",0
"ABA-1467","Aba","9mobile","1","Nasarawa","1","4G","1","1","85.80","204.48","4","62","1",0
"ABA-1469","Aba","Airtel","2","Nasarawa","3","4G","2","3","96.04","171.07","3","427","1",0
"ABA-1470","Aba","Glo","2","Bayelsa","2","4G","1","2","94.32","163.73","4","255","1",0
"ABA-1471","Aba","MTN","1","Kogi","1","2G","1","1","96.71","47.38","3","0","0",0
"ABA-1474","Aba","MTN","1","Ondo","1","5G","1","1","96.01","57.46","3","0","0",0
"ABA-1481","Aba","9mobile","2","Lagos","2","4G","1","2","91.19","253.87","3","413","1",0
"ABA-1483","Aba","Glo","1","Ebonyi","1","3G","1","1","93.46","94.18","2","213","1",0
"ABA-1485","Aba","Glo","2","Kogi","2","4G","1","2","95.83","120.24","6","399","1",0
"ABA-1488","Aba","Airtel","1","Osun","2","4G","1","2","88.23","339.12","9","818","2",1
"ABA-1489","Aba","Airtel","2","Enugu","2","3G","2","2","87.73","353.38","3","804","2",1
"ABA-1490","Aba","9mobile","1","Adamawa","1","2G","1","1","85.84","203.90","4","489","1",0
"ABA-1492","Aba","Glo","1","Zamfara","1","3G","1","1","97.43","37.01","1","0","0",0
"ABA-1493","Aba","MTN","1","Bayelsa","1","3G","1","1","99.99","0.14","0","0","0",0
"ABA-1494","Aba","9mobile","2","Abia","2","4G","2","3","92.31","332.34","6","887","2",1
"ABA-1497","Aba","Airtel","1","Ekiti","1","4G","1","1","94.49","79.34","3","158","1",0
"ABA-1498","Aba","9mobile","1","Cross River","1","4G","1","1","91.43","123.41","0","257","1",0
"ABA-1499","Aba","Glo","1","Adamawa","2","2G","2","2","96.72","94.61","6","0","0",0
"ABA-1503","Aba","9mobile","2","Kano","2","4G","1","2","94.26","165.31","2","359","1",0
"ABA-1504","Aba","9mobile","1","Rivers","1","4G","1","1","97.25","39.60","3","0","0",0
"ABA-1505","Aba","Glo","1","Rivers","1","4G","1","1","87.66","177.70","5","320","1",0
"ABA-1508","Aba","MTN","2","Akwa Ibom","3","4G","2","3","93.24","292.02","7","512","2",1
"ABA-1513","Aba","Glo","1","Adamawa","1","4G","1","1","99.39","8.78","0","0","0",0
"ABA-1515","Aba","Glo","1","Oyo","1","3G","1","1","93.32","96.19","4","168","1",0
"ABA-1518","Aba","Airtel","1","Ondo","1","4G","1","1","87.32","182.59","0","408","1",0
"ABA-1521","Aba","9mobile","1","Sokoto","1","4G","1","1","85.92","202.75","4","340","1",0
"ABA-1524","Aba","9mobile","1","Kebbi","1","4G","1","1","99.08","13.25","0","0","0",0
"ABA-1525","Aba","MTN","1","Plateau","1","4G","1","1","97.78","31.97","1","0","0",0
"ABA-1526","Aba","MTN","2","Bauchi","3","3G","2","3","92.49","324.29","12","381","2",1
"ABA-1527","Aba","MTN","1","Borno","2","4G","1","2","93.35","191.52","5","487","1",0
"ABA-1530","Aba","Airtel","1","Kano","1","3G","1","1","92.58","106.85","4","134","1",0
"ABA-1533","Aba","Glo","1","Niger","1","4G","1","1","88.13","170.93","5","289","1",0
"ABA-1534","Aba","MTN","1","Kwara","1","4G","1","1","97.57","34.99","5","0","0",0
"ABA-1536","Aba","Airtel","2","Benue","2","4G","2","2","92.95","203.04","6","438","2",1
"ABA-1537","Aba","Airtel","1","Kaduna","1","3G","1","1","93.11","99.22","3","363","1",0
"ABA-1538","Aba","Airtel","1","Bayelsa","1","3G","1","1","85.71","205.78","5","251","1",0
"ABA-1539","Aba","MTN","1","Akwa Ibom","1","4G","1","1","94.26","82.66","2","111","1",0
"ABA-1540","Aba","MTN","1","Sokoto","1","2G","1","1","91.51","122.26","3","297","1",0
"ABA-1542","Aba","9mobile","1","Benue","1","4G","1","1","87.35","182.16","2","121","1",0
"ABA-1543","Aba","9mobile","2","Rivers","1","4G","1","2","90.71","267.70","5","606","2",1
"ABA-1545","Aba","Glo","1","Bayelsa","1","4G","1","1","90.35","138.96","3","371","1",0
"ABA-1547","Aba","9mobile","2","Yobe","3","3G","2","4","92.97","404.93","4","435","2",1
"ABA-1548","Aba","9mobile","1","Yobe","1","4G","1","1","90.68","134.21","1","366","1",0
"ABA-1549","Aba","9mobile","1","Ebonyi","1","4G","1","1","87.25","183.60","0","355","1",0
"ABA-1550","Aba","Glo","1","Gombe","1","4G","1","1","98.50","21.60","2","0","0",0
"ABA-1551","Aba","Airtel","1","FCT","1","4G","1","1","92.16","112.90","4","479","1",0
"ABA-1552","Aba","9mobile","2","Niger","2","4G","2","2","91.86","234.43","9","217","1",0
"ABA-1556","Aba","9mobile","3","Gombe","3","4G","2","3","90.01","431.71","10","992","3",1
"ABA-1557","Aba","9mobile","2","Niger","2","4G","1","2","88.49","331.49","3","209","2",1
"ABA-1561","Aba","9mobile","1","Gombe","1","4G","1","1","89.00","158.40","3","289","1",0
"ABA-1562","Aba","Airtel","2","Abia","2","2G","2","2","93.84","177.56","6","347","1",0
"ABA-1563","Aba","Airtel","1","Delta","1","4G","1","1","97.60","34.56","1","0","0",0
