tower_id,date,operator,city,state,uptime_percentage,downtime_minutes,outage_count,outage_reason,network_type,avg_users_affected
KAD-8215,2025-10-01,Glo,Kaduna,Oyo,85.98,201.89,5,maintenance,2G,103
JOS-1830,2025-09-10,9mobile,Jos,Bayelsa,86.14,199.58,3,fiber_cut,3G,458
CAL-1844,2025-09-20,Airtel,Calabar,Katsina,93.98,86.69,1,equipment_fault,3G,317
POR-8239,2025-09-23,MTN,Port Harcourt,Abia,99.19,11.66,0,,4G,0
JOS-3643,2025-09-13,9mobile,Jos,Edo,94.72,76.03,5,equipment_fault,2G,241
ILO-2651,2025-09-04,9mobile,Ilorin,FCT,92.72,104.83,3,power_failure,4G,108
IBA-2506,2025-09-09,Airtel,Ibadan,Ekiti,91.1,128.16,0,equipment_fault,3G,419
IBA-5111,2025-09-27,9mobile,Ibadan,Abia,96.18,55.01,1,,4G,0
ABE-2149,2025-09-30,MTN,Abeokuta,Sokoto,98.53,21.17,4,,3G,0
ILO-3465,2025-09-28,9mobile,Ilorin,FCT,86.04,201.02,4,maintenance,4G,65
ILO-9606,2025-09-02,MTN,Ilorin,Enugu,93.31,96.34,4,fiber_cut,4G,347
ILO-6505,2025-09-11,Airtel,Ilorin,Rivers,92.51,107.86,2,power_failure,4G,317
KAD-7600,2025-09-29,Glo,Kaduna,FCT,91.62,120.67,3,equipment_fault,3G,219
WAR-2842,2025-09-09,MTN,Warri,Borno,93.42,94.75,3,equipment_fault,4G,220
ENU-2182,2025-09-16,Airtel,Enugu,Ebonyi,86.25,198.0,2,power_failure,3G,374
JOS-7883,2025-09-17,Airtel,Jos,Bauchi,91.42,123.55,4,maintenance,3G,233
ABA-2138,2025-09-20,9mobile,Aba,Plateau,85.0,216.0,5,power_failure,4G,195
ENU-9400,2025-09-25,Airtel,Enugu,Niger,92.54,107.42,5,fiber_cut,4G,290
CAL-1988,2025-09-30,Airtel,Calabar,Zamfara,86.43,195.41,2,weather,4G,400
POR-9847,2025-09-25,9mobile,Port Harcourt,Anambra,90.49,136.94,0,equipment_fault,2G,304
POR-6027,2025-09-19,Airtel,Port Harcourt,Lagos,95.04,71.42,5,,4G,0
ONI-2220,2025-09-24,MTN,Onitsha,Enugu,88.85,160.56,1,power_failure,4G,499
BEN-1450,2025-09-19,MTN,Benin City,Rivers,90.41,138.1,4,equipment_fault,4G,454
JOS-6633,2025-09-03,MTN,Jos,Bayelsa,88.55,164.88,0,weather,3G,316
ILO-5221,2025-09-03,MTN,Ilorin,Ebonyi,99.17,11.95,0,,4G,0
ILO-9808,2025-09-20,Glo,Ilorin,Ekiti,91.73,119.09,4,power_failure,4G,324
IBA-8855,2025-09-26,Glo,Ibadan,Plateau,86.25,198.0,2,equipment_fault,4G,101
ABA-6996,2025-09-06,Glo,Aba,Oyo,98.55,20.88,4,,4G,0
ONI-6357,2025-09-03,9mobile,Onitsha,Imo,85.51,208.66,2,power_failure,4G,435
JOS-8219,2025-09-05,9mobile,Jos,Ekiti,95.04,71.42,3,,4G,0
ABU-6509,2025-09-16,9mobile,Abuja,Yobe,99.14,12.38,0,,4G,0
LAG-6012,2025-09-19,Glo,Lagos,Adamawa,94.23,83.09,5,power_failure,4G,198
BEN-4814,2025-09-25,9mobile,Benin City,Kano,91.44,123.26,4,weather,4G,196
POR-6466,2025-09-11,MTN,Port Harcourt,Delta,89.57,150.19,4,equipment_fault,2G,393
ILO-9453,2025-09-25,Glo,Ilorin,Adamawa,92.92,101.95,4,maintenance,4G,209
LAG-7877,2025-09-16,Airtel,Lagos,Adamawa,91.94,116.06,5,power_failure,2G,446
LAG-3269,2025-09-30,MTN,Lagos,Delta,92.08,114.05,3,fiber_cut,5G,395
WAR-2399,2025-09-20,Glo,Warri,Gombe,85.84,203.9,4,weather,4G,315
KAN-8604,2025-09-29,MTN,Kano,Imo,93.32,96.19,2,power_failure,3G,84
ONI-6165,2025-09-12,Airtel,Onitsha,Sokoto,88.53,165.17,1,power_failure,4G,97
ENU-6729,2025-09-07,Airtel,Enugu,Yobe,89.19,155.66,4,equipment_fault,4G,482
ABA-8484,2025-09-25,MTN,Aba,Enugu,87.63,178.13,5,maintenance,4G,483
POR-2376,2025-09-29,Glo,Port Harcourt,Enugu,95.23,68.69,2,,4G,0
POR-5468,2025-09-05,9mobile,Port Harcourt,Kogi,86.65,192.24,0,equipment_fault,4G,483
POR-6455,2025-09-06,9mobile,Port Harcourt,Ogun,85.66,206.5,2,maintenance,4G,344
ENU-1749,2025-09-29,Airtel,Enugu,Imo,90.76,133.06,1,maintenance,4G,82
KAN-5753,2025-09-05,Airtel,Kano,Niger,95.84,59.9,0,,3G,0
BEN-6257,2025-09-17,Glo,Benin City,Enugu,98.85,16.56,1,,3G,0
WAR-1144,2025-09-09,Glo,Warri,Enugu,91.91,116.5,1,maintenance,3G,447
BEN-2212,2025-09-25,MTN,Benin City,Osun,99.94,0.86,0,,5G,0
IBA-6779,2025-09-30,Airtel,Ibadan,Yobe,95.31,67.54,5,,2G,0
ABE-3454,2025-09-14,Glo,Abeokuta,Bauchi,95.67,62.35,4,,4G,0
POR-1682,2025-09-20,9mobile,Port Harcourt,Rivers,86.5,194.4,3,power_failure,3G,472
CAL-2109,2025-09-17,Glo,Calabar,FCT,92.35,110.16,5,maintenance,4G,296
JOS-2311,2025-09-07,9mobile,Jos,Ekiti,86.78,190.37,4,maintenance,4G,402
KAD-5144,2025-09-17,9mobile,Kaduna,Kaduna,93.94,87.26,5,maintenance,2G,250
ILO-2261,2025-09-09,9mobile,Ilorin,Delta,86.07,200.59,3,power_failure,4G,187
JOS-3580,2025-09-15,9mobile,Jos,Rivers,90.81,132.34,5,equipment_fault,4G,480
ABA-9633,2025-09-06,Airtel,Aba,Adamawa,94.04,85.82,3,maintenance,4G,354
POR-1401,2025-09-22,Airtel,Port Harcourt,Ogun,95.72,61.63,0,,4G,0
KAD-9312,2025-09-26,9mobile,Kaduna,Gombe,89.4,152.64,4,equipment_fault,4G,489
JOS-1041,2025-10-01,9mobile,Jos,Imo,99.83,2.45,0,,5G,0
JOS-5289,2025-09-20,9mobile,Jos,Kano,94.44,80.06,4,maintenance,2G,88
KAN-2084,2025-09-11,MTN,Kano,Niger,93.71,90.58,3,maintenance,4G,269
CAL-2507,2025-09-01,MTN,Calabar,Abia,97.54,35.42,0,,4G,0
BEN-2095,2025-09-10,MTN,Benin City,Plateau,89.33,153.65,0,power_failure,4G,104
ABE-1373,2025-09-28,Glo,Abeokuta,Gombe,96.15,55.44,1,,4G,0
KAN-5516,2025-09-01,9mobile,Kano,Kano,89.72,148.03,5,power_failure,4G,225
KAN-1502,2025-09-09,MTN,Kano,Benue,98.22,25.63,3,,3G,0
KAD-1713,2025-09-02,Glo,Kaduna,Taraba,93.84,88.7,3,fiber_cut,4G,361
ENU-9777,2025-09-27,Glo,Enugu,Edo,98.19,26.06,1,,3G,0
ABE-1107,2025-09-08,MTN,Abeokuta,Niger,91.15,127.44,5,power_failure,2G,396
LAG-7437,2025-09-12,9mobile,Lagos,FCT,99.03,13.97,0,,4G,0
LAG-1768,2025-09-18,MTN,Lagos,Kano,89.84,146.3,3,power_failure,5G,431
WAR-5248,2025-09-22,Airtel,Warri,Yobe,95.36,66.82,1,,4G,0
WAR-2299,2025-09-06,Airtel,Warri,Yobe,96.13,55.73,4,,4G,0
WAR-9360,2025-09-24,9mobile,Warri,Ondo,99.7,4.32,0,,3G,0
ABA-3126,2025-09-12,Airtel,Aba,Jigawa,86.64,192.38,5,power_failure,4G,280
ABE-1674,2025-09-15,Glo,Abeokuta,Nasarawa,85.28,211.97,2,maintenance,4G,202
WAR-1235,2025-09-05,Airtel,Warri,Ebonyi,95.88,59.33,4,,4G,0
ABA-2907,2025-09-04,MTN,Aba,Ogun,97.69,33.26,1,,4G,0
IBA-8201,2025-09-12,9mobile,Ibadan,Osun,93.77,89.71,0,power_failure,4G,440
LAG-2055,2025-09-03,9mobile,Lagos,Ekiti,93.46,94.18,1,power_failure,4G,136
IBA-4464,2025-09-13,9mobile,Ibadan,Edo,98.62,19.87,1,,3G,0
KAD-7991,2025-09-17,Airtel,Kaduna,Katsina,89.81,146.74,4,equipment_fault,4G,228
JOS-1180,2025-09-20,Glo,Jos,Bayelsa,86.59,193.1,2,equipment_fault,4G,58
POR-7311,2025-09-09,Airtel,Port Harcourt,Kano,99.59,5.9,0,,4G,0
ABE-2187,2025-09-01,Glo,Abeokuta,Nasarawa,92.55,107.28,5,equipment_fault,4G,257
CAL-1022,2025-09-11,Glo,Calabar,FCT,87.07,186.19,5,weather,3G,98
CAL-8867,2025-09-11,9mobile,Calabar,Adamawa,95.17,69.55,3,,4G,0
KAN-7772,2025-09-06,Glo,Kano,Ogun,91.46,122.98,5,maintenance,4G,424
ABA-2717,2025-09-30,9mobile,Aba,Bauchi,99.72,4.03,0,,4G,0
KAN-1192,2025-09-22,Airtel,Kano,Benue,97.55,35.28,4,,3G,0
LAG-7351,2025-09-27,Glo,Lagos,Niger,93.56,92.74,5,fiber_cut,3G,472
JOS-5271,2025-09-28,MTN,Jos,Plateau,94.32,81.79,1,maintenance,4G,251
POR-2459,2025-09-19,Airtel,Port Harcourt,Oyo,97.06,42.34,4,,3G,0
ABE-1963,2025-09-15,Airtel,Abeokuta,Ekiti,92.41,109.3,4,power_failure,4G,469
WAR-2760,2025-09-16,Airtel,Warri,Niger,96.83,45.65,1,,4G,0
CAL-1999,2025-09-25,9mobile,Calabar,Akwa Ibom,91.45,123.12,4,maintenance,4G,487
ABA-6520,2025-09-22,Airtel,Aba,Adamawa,85.91,202.9,4,power_failure,4G,394
IBA-3496,2025-09-21,9mobile,Ibadan,Ondo,94.47,79.63,0,power_failure,3G,247
POR-8200,2025-09-30,9mobile,Port Harcourt,Anambra,91.39,123.98,5,fiber_cut,4G,261
IBA-4771,2025-09-12,MTN,Ibadan,Rivers,98.54,21.02,3,,4G,0
WAR-5023,2025-09-07,9mobile,Warri,Ebonyi,93.65,91.44,5,equipment_fault,4G,275
JOS-5561,2025-09-30,Glo,Jos,Sokoto,95.38,66.53,2,,4G,0
POR-4088,2025-09-07,9mobile,Port Harcourt,Kogi,86.7,191.52,5,power_failure,4G,302
ENU-4930,2025-09-22,MTN,Enugu,Delta,89.92,145.15,1,power_failure,4G,101
BEN-9688,2025-09-14,MTN,Benin City,Ondo,88.74,162.14,2,maintenance,4G,430
KAN-3323,2025-09-15,MTN,Kano,Yobe,85.74,205.34,3,power_failure,4G,70
KAD-7224,2025-09-14,MTN,Kaduna,FCT,94.69,76.46,1,power_failure,4G,453
CAL-4211,2025-09-19,MTN,Calabar,Adamawa,97.13,41.33,4,,3G,0
ILO-6155,2025-09-12,MTN,Ilorin,Imo,94.76,75.46,5,fiber_cut,3G,476
KAD-9360,2025-09-13,Glo,Kaduna,Bayelsa,98.35,23.76,5,,4G,0
KAD-4671,2025-09-27,Glo,Kaduna,Sokoto,90.6,135.36,0,equipment_fault,4G,331
ONI-3912,2025-09-19,Glo,Onitsha,Benue,98.71,18.58,0,,4G,0
ABE-2484,2025-09-05,Airtel,Abeokuta,Ekiti,85.46,209.38,1,power_failure,3G,450
ONI-8006,2025-09-01,9mobile,Onitsha,Benue,87.27,183.31,0,maintenance,4G,78
IBA-3196,2025-09-14,Airtel,Ibadan,Kogi,98.23,25.49,3,,4G,0
JOS-9316,2025-09-03,9mobile,Jos,Kaduna,97.04,42.62,2,,4G,0
ABE-3893,2025-10-01,Glo,Abeokuta,Abia,92.84,103.1,2,weather,3G,331
ENU-1102,2025-09-26,MTN,Enugu,Rivers,96.29,53.42,2,,3G,0
LAG-8364,2025-09-27,Glo,Lagos,Kebbi,96.88,44.93,4,,4G,0
ENU-6288,2025-09-18,Glo,Enugu,Taraba,91.23,126.29,0,weather,4G,273
BEN-8756,2025-09-19,Glo,Benin City,Jigawa,89.91,145.3,4,power_failure,4G,476
ABU-8470,2025-09-27,9mobile,Abuja,Cross River,89.8,146.88,4,equipment_fault,4G,65
ABA-4305,2025-09-10,9mobile,Aba,Zamfara,89.89,145.58,0,fiber_cut,3G,216
LAG-7126,2025-09-25,Airtel,Lagos,Lagos,99.95,0.72,0,,4G,0
WAR-6338,2025-09-22,Airtel,Warri,Gombe,86.28,197.57,3,power_failure,4G,313
ABE-4610,2025-09-14,Airtel,Abeokuta,Ebonyi,95.4,66.24,3,,3G,0
ABE-1841,2025-09-09,Glo,Abeokuta,Ogun,88.19,170.06,5,fiber_cut,4G,121
ABA-1629,2025-09-17,Airtel,Aba,Akwa Ibom,90.96,130.18,3,equipment_fault,4G,204
ABA-8195,2025-09-10,Airtel,Aba,Katsina,98.83,16.85,5,,4G,0
ONI-7441,2025-09-16,9mobile,Onitsha,Oyo,91.75,118.8,1,power_failure,3G,450
ONI-6741,2025-09-02,Airtel,Onitsha,Kwara,99.89,1.58,0,,3G,0
CAL-5058,2025-09-16,MTN,Calabar,Ogun,96.99,43.34,4,,4G,0
WAR-8538,2025-09-17,9mobile,Warri,Borno,85.54,208.22,0,power_failure,4G,443
CAL-4229,2025-09-25,9mobile,Calabar,Imo,87.58,178.85,0,maintenance,4G,60
ABA-4600,2025-09-08,Airtel,Aba,Jigawa,90.25,140.4,1,fiber_cut,4G,285
JOS-1350,2025-09-02,MTN,Jos,Anambra,89.76,147.46,1,power_failure,4G,311
KAN-3290,2025-09-29,9mobile,Kano,Ondo,99.35,9.36,0,,4G,0
KAN-5696,2025-09-20,9mobile,Kano,Plateau,98.97,14.83,3,,4G,0
ABA-3859,2025-09-05,MTN,Aba,Nasarawa,90.48,137.09,3,power_failure,4G,255
ONI-5233,2025-09-07,Airtel,Onitsha,Ekiti,88.35,167.76,4,fiber_cut,4G,141
POR-3701,2025-09-06,Airtel,Port Harcourt,Nasarawa,92.29,111.02,4,weather,4G,365
IBA-1379,2025-09-23,Glo,Ibadan,Kebbi,98.57,20.59,4,,4G,0
KAN-9116,2025-09-06,9mobile,Kano,Borno,89.13,156.53,2,fiber_cut,4G,346
ABA-2541,2025-09-05,Airtel,Aba,Edo,90.85,131.76,1,equipment_fault,4G,110
ENU-5834,2025-09-02,9mobile,Enugu,Kebbi,89.43,152.21,1,equipment_fault,4G,384
BEN-5688,2025-09-15,Glo,Benin City,Abia,99.5,7.2,0,,3G,0
ONI-9128,2025-09-02,9mobile,Onitsha,Lagos,86.97,187.63,5,equipment_fault,5G,291
WAR-1985,2025-09-28,Glo,Warri,Cross River,99.33,9.65,0,,4G,0
KAN-2237,2025-09-17,MTN,Kano,Plateau,95.72,61.63,4,,4G,0
KAN-4519,2025-09-08,Airtel,Kano,Imo,97.44,36.86,5,,3G,0
LAG-8808,2025-09-29,Airtel,Lagos,FCT,88.52,165.31,1,power_failure,3G,353
WAR-6510,2025-09-02,Glo,Warri,Osun,87.43,181.01,2,power_failure,3G,201
KAN-5330,2025-09-16,MTN,Kano,Borno,89.74,147.74,4,maintenance,4G,337
KAD-8434,2025-09-17,MTN,Kaduna,Kaduna,89.16,156.1,4,fiber_cut,4G,337
ABE-1078,2025-09-24,Glo,Abeokuta,Ekiti,98.6,20.16,1,,4G,0
KAD-7136,2025-09-17,9mobile,Kaduna,Adamawa,91.06,128.74,4,weather,4G,188
WAR-9741,2025-10-01,Airtel,Warri,Ebonyi,88.27,168.91,1,power_failure,4G,408
