tower_id,operator,state,city,network_type,latest_uptime,historical_total_downtime_minutes,historical_total_outage_count,site_reliability_risk_score,risk_category_final,predicted_risk_probability,predicted_risk_category,recommended_priority
LAG-9066,Airtel,Ondo,Lagos,3G,97.81,236.88,10,41.841666666666654,Medium Risk,0.5759550507701706,High,85
POR-8928,Airtel,Akwa Ibom,Port Harcourt,4G,98.39,74.58,9,5.755092592592605,Low Risk,0.5757958009633821,High,86
ABU-2405,9mobile,Jigawa,Abuja,2G,92.9,171.64999999999998,8,40.666782407407396,Medium Risk,0.575625127357632,High,87
IBA-7618,9mobile,Kwara,Ibadan,4G,97.11,101.09,10,11.700115740740728,Low Risk,0.5754653818308719,High,88
KAD-7167,Glo,Kwara,Kaduna,4G,95.45,212.69,13,28.31118827160493,Medium Risk,0.5754648452986949,High,89
ABE-8471,Airtel,Kaduna,Abeokuta,4G,98.1,240.62,9,48.52476851851853,Medium Risk,0.5752248321213357,High,90
JOS-6562,Glo,Bauchi,Jos,4G,88.95,467.99,18,37.07643518518518,Medium Risk,0.5752170485462912,High,91
ABU-7811,9mobile,Kaduna,Abuja,4G,98.15,75.31,7,8.716550925925917,Low Risk,0.5749985758805158,High,92
ABA-6272,Airtel,Bauchi,Aba,4G,95.29,139.25,14,8.05839120370371,Low Risk,0.5749224329620303,High,93
LAG-6377,Airtel,Jigawa,Lagos,4G,97.82,284.55,9,42.12245370370369,Medium Risk,0.5746526944722217,High,94
ABE-1131,MTN,Ebonyi,Abeokuta,3G,97.58,195.7,13,29.316820987654346,Medium Risk,0.5745401078793329,High,95
LAG-3908,Airtel,Kaduna,Lagos,4G,89.35,168.62,9,39.59143518518519,Medium Risk,0.5741800831001754,High,96
IBA-6370,9mobile,Abia,Ibadan,4G,92.23,284.98,13,44.58904320987651,Medium Risk,0.5739910557494434,High,97
CAL-3353,Glo,Abia,Calabar,4G,85.5,519.11,17,59.31637731481483,Medium Risk,0.5739822310035272,High,98
IBA-9784,Airtel,Akwa Ibom,Ibadan,4G,94.36,211.68,11,41.183333333333316,Medium Risk,0.5739772546626627,High,99
POR-7932,9mobile,Jigawa,Port Harcourt,4G,95.57,217.57999999999998,8,46.05810185185186,Medium Risk,0.5739141433669995,High,100
ABU-7349,Airtel,Kogi,Abuja,4G,98.01,141.56,12,21.522530864197513,Medium Risk,0.5737496830450863,High,101
LAG-2130,9mobile,Borno,Lagos,2G,98.14,144.57,13,22.57199074074071,Medium Risk,0.5734656254823954,High,102
CAL-2000,Airtel,Kaduna,Calabar,4G,95.01,315.65,13,55.138966049382724,Medium Risk,0.57339764219682,High,103
ABE-7244,Airtel,Kaduna,Abeokuta,4G,97.58,51.7,8,5.983564814814819,Low Risk,0.5732689240290071,High,104
IBA-2606,9mobile,Akwa Ibom,Ibadan,4G,96.21,243.21999999999997,10,45.40023148148147,Medium Risk,0.5732324813379681,High,105
ONI-2219,Glo,Akwa Ibom,Onitsha,4G,89.02,286.56,13,45.07777777777776,Medium Risk,0.5732137468082464,High,106
ABU-4313,Glo,Kwara,Abuja,4G,96.97,258.91,8,44.966550925925944,Medium Risk,0.572987584854418,High,107
LAG-9232,9mobile,Akwa Ibom,Lagos,4G,98.7,228.52,10,44.583024691358034,Medium Risk,0.5729205772006635,High,108
ABA-4130,Glo,Jigawa,Aba,4G,89.2,208.8,8,40.49166666666667,Medium Risk,0.5728917263526596,High,109
JOS-9897,Glo,Jigawa,Jos,4G,92.65,133.78,8,35.083564814814814,Medium Risk,0.5728449712053636,High,110
ABE-2271,Glo,Kaduna,Abeokuta,2G,98.65,178.99,8,40.91655092592593,Medium Risk,0.5727167901554653,High,111
IBA-9749,Airtel,Kaduna,Ibadan,2G,96.03,247.82999999999998,10,47.758680555555536,Medium Risk,0.5726487959075858,High,112
ABE-4930,9mobile,Lagos,Abeokuta,4G,98.29,357.4,11,49.57746913580245,Medium Risk,0.5724323871062211,High,113
ABE-7829,Glo,Akwa Ibom,Abeokuta,4G,98.46,83.24000000000001,8,9.633796296296296,Low Risk,0.5722045381504012,High,114
ABU-8065,9mobile,Jigawa,Abuja,4G,99.82,188.35,4,36.37488425925927,Medium Risk,0.5721865115707737,High,115
POR-7079,9mobile,Akwa Ibom,Port Harcourt,4G,99.1,177.84,8,25.3888888888889,Medium Risk,0.5720854199270284,High,116
ABE-3819,MTN,Adamawa,Abeokuta,4G,97.67,496.79,16,55.43721064814815,Medium Risk,0.5718839847287296,High,117
LAG-5147,9mobile,Abia,Lagos,4G,96.88,250.85,13,40.70563271604939,Medium Risk,0.5718471422019903,High,118
POR-3176,Airtel,Enugu,Port Harcourt,4G,93.46,428.99,18,51.350324074074074,Medium Risk,0.5717967665001826,High,119
CAL-6628,9mobile,Kaduna,Calabar,4G,87.64,461.22999999999996,14,74.78881172839506,Critical Risk,0.5717815713907666,High,120
IBA-2907,Glo,Kaduna,Ibadan,4G,85.98,244.79999999999998,8,51.83333333333333,Medium Risk,0.57174249839392,High,121
LAG-8604,9mobile,Adamawa,Lagos,4G,97.31,158.69,11,24.39452160493827,Medium Risk,0.5717324646691868,High,122
JOS-2754,9mobile,Kaduna,Jos,4G,96.8,209.38,10,38.208564814814835,Medium Risk,0.5716179106236788,High,123
LAG-5102,9mobile,Akwa Ibom,Lagos,4G,97.63,383.05,12,54.939274691358044,Medium Risk,0.5716021781975104,High,124
ABE-1653,9mobile,Akwa Ibom,Abeokuta,4G,96.28,130.03,10,32.724884259259255,Medium Risk,0.5714253619125437,High,125
ABU-9199,9mobile,Ondo,Abuja,3G,95.25,101.38,7,11.733564814814832,Low Risk,0.5713661796863344,High,126
POR-2578,9mobile,Akwa Ibom,Port Harcourt,4G,90.77,329.61,11,53.716435185185176,Medium Risk,0.5713522730492148,High,127
KAN-1840,9mobile,Akwa Ibom,Kano,4G,96.31,369.08000000000004,13,44.50856481481481,Medium Risk,0.5713505501307897,High,128
ABU-1648,9mobile,Kaduna,Abuja,4G,92.52,260.06,10,67.17476851851852,High Risk,0.57134842716502,High,129
ABE-8732,9mobile,Jigawa,Abeokuta,3G,98.52,87.12,7,10.083333333333341,Low Risk,0.571347585627913,High,130
LAG-3731,Glo,Akwa Ibom,Lagos,4G,99.03,147.17,8,22.855632716049406,Medium Risk,0.5712569698081019,High,131
ABU-3719,Glo,Kaduna,Abuja,3G,95.33,230.83,9,44.36655092592593,Medium Risk,0.5710555056407609,High,132
BEN-2214,Airtel,Akwa Ibom,Benin City,4G,85.93,507.31,16,55.208275462962966,Medium Risk,0.5709581144726296,High,133
CAL-9280,MTN,Ebonyi,Calabar,3G,96.84,236.01999999999998,15,27.52793209876542,Medium Risk,0.5709457058684013,High,134
IBA-3450,9mobile,Akwa Ibom,Ibadan,4G,96.78,104.55,9,12.100347222222213,Low Risk,0.5709453832189648,High,135
ABA-6567,9mobile,Ondo,Aba,4G,86.92,257.18,9,43.96643518518519,Medium Risk,0.5709221684906913,High,136
BEN-6410,9mobile,Kebbi,Benin City,4G,98.8,188.06,14,23.67762345679013,Medium Risk,0.5709084407011539,High,137
POR-9644,9mobile,Ondo,Port Harcourt,3G,91.5,167.62,9,33.92523148148147,Medium Risk,0.5708809094671904,High,138
ABA-3180,Airtel,Adamawa,Aba,2G,93.21,227.51999999999998,14,47.18888888888888,Medium Risk,0.5708489297805999,High,139
IBA-6163,MTN,Jigawa,Ibadan,4G,97.36,71.14,7,8.233564814814814,Low Risk,0.5708239777141046,High,140
ABE-3628,Glo,Ogun,Abeokuta,4G,98.4,142.84,11,26.77191358024692,Medium Risk,0.5708215971440002,High,141
KAD-7424,9mobile,Borno,Kaduna,4G,96.71,319.1,18,46.429050925925914,Medium Risk,0.5708178023094481,High,142
POR-2140,9mobile,Jigawa,Port Harcourt,4G,99.79,20.44,5,2.3662037037036927,Low Risk,0.5705425649916032,High,143
ABE-2429,9mobile,Akwa Ibom,Abeokuta,4G,94.0,210.24,10,41.538888888888906,Medium Risk,0.5704920366556572,High,144
ILO-8110,9mobile,Lagos,Ilorin,3G,96.46,210.24,12,20.641666666666676,Medium Risk,0.5703910909861489,High,145
ABU-7319,Airtel,Kaduna,Abuja,4G,90.74,389.66,12,72.516512345679,High Risk,0.5703630922566159,High,146
IBA-6644,9mobile,Akwa Ibom,Ibadan,4G,96.35,137.66,10,38.58310185185185,Medium Risk,0.5701697538498941,High,147
LAG-2489,Glo,Jigawa,Lagos,4G,95.27,141.84,7,31.24166666666669,Medium Risk,0.5700913743542418,High,148
ILO-3272,9mobile,Akwa Ibom,Ilorin,3G,85.3,398.45000000000005,14,55.61118827160495,Medium Risk,0.5700503536015749,High,149
POR-9754,9mobile,Bauchi,Port Harcourt,4G,89.78,216.87,13,30.750231481481478,Medium Risk,0.5700475226890103,High,150
POR-3517,Glo,Borno,Port Harcourt,4G,96.61,284.12,12,24.541898148148153,Medium Risk,0.5700398611495697,High,151
JOS-9980,Glo,Akwa Ibom,Jos,4G,90.69,160.27,10,34.99988425925926,Medium Risk,0.5699693655793816,High,152
POR-9325,Airtel,Kwara,Port Harcourt,4G,97.87,199.14999999999998,10,48.024884259259245,Medium Risk,0.5699298923472155,High,153
CAL-6537,9mobile,Jigawa,Calabar,4G,98.33,190.23000000000002,8,45.317013888888894,Medium Risk,0.5699121722394067,High,154
ILO-6867,Glo,Kwara,Ilorin,3G,94.99,223.77999999999997,12,44.766820987654334,Medium Risk,0.5698857730743985,High,155
ABA-7893,9mobile,Akwa Ibom,Aba,4G,87.55,291.74,10,32.427623456790116,Medium Risk,0.5697993361471348,High,156
CAL-5303,MTN,Jigawa,Calabar,4G,95.64,101.95,9,11.799884259259246,Low Risk,0.5697325292639209,High,157
IBA-3391,Glo,Akwa Ibom,Ibadan,2G,95.56,115.78,9,13.400231481481473,Low Risk,0.5697064703842405,High,158
LAG-2321,Glo,Kwara,Lagos,4G,97.31,221.04000000000002,9,45.45833333333333,Medium Risk,0.5696264434332133,High,159
ABU-5871,MTN,Kaduna,Abuja,2G,97.67,225.5,8,40.624768518518515,Medium Risk,0.569525783371015,High,160
IBA-6695,Airtel,Jigawa,Ibadan,2G,97.07,244.37,7,46.1834490740741,Medium Risk,0.5695112199199284,High,161
ABA-3304,Glo,Bauchi,Aba,4G,97.9,492.76,18,35.185956790123456,Medium Risk,0.5694968772238942,High,162
CAL-2983,MTN,Akwa Ibom,Calabar,4G,87.08,355.68,13,54.527777777777786,Medium Risk,0.5694615089332271,High,163
ILO-5566,Airtel,Abia,Ilorin,4G,98.28,323.13,15,49.516435185185195,Medium Risk,0.5694443586223646,High,164
ONI-2010,9mobile,Jigawa,Onitsha,3G,85.23,553.98,16,55.21694444444445,Medium Risk,0.5693273215809985,High,165
BEN-3936,9mobile,Lagos,Benin City,4G,96.87,285.26,13,47.11095679012346,Medium Risk,0.5692835856207682,High,166
ABA-1162,9mobile,Jigawa,Aba,4G,97.95,213.55,7,43.591550925925915,Medium Risk,0.5692255032868841,High,167
BEN-9497,9mobile,Jigawa,Benin City,4G,88.96,522.5799999999999,15,80.25570987654322,Critical Risk,0.569217052247393,High,168
CAL-5172,MTN,Jigawa,Calabar,4G,97.86,236.6,10,44.45586419753087,Medium Risk,0.5690700008214726,High,169
JOS-1102,9mobile,Ondo,Jos,4G,93.22,112.32,8,32.2,Medium Risk,0.5690560502493275,High,170
ILO-2375,9mobile,Borno,Ilorin,4G,86.56,279.5,14,34.09984567901232,Medium Risk,0.5690329612885496,High,171
ABU-2594,9mobile,Jigawa,Abuja,2G,98.69,155.95,5,40.174884259259244,Medium Risk,0.56894918074481,High,172
IBA-2939,Airtel,Jigawa,Ibadan,4G,98.43,229.11,8,43.31134259259258,Medium Risk,0.568809547806372,High,173
ABE-1931,9mobile,Akwa Ibom,Abeokuta,4G,97.85,136.8,9,40.05833333333333,Medium Risk,0.568767789182537,High,174
LAG-9539,9mobile,Jigawa,Lagos,4G,91.22,183.17000000000002,7,43.10011574074074,Medium Risk,0.5686709299430371,High,175
ABU-1302,9mobile,Jigawa,Abuja,4G,92.06,324.87,8,81.42534722222223,Critical Risk,0.5686508552832623,High,176
POR-4589,9mobile,Abia,Port Harcourt,4G,91.58,196.42000000000002,11,29.339043209876543,Medium Risk,0.5686277582189992,High,177
LAG-8798,Glo,Akwa Ibom,Lagos,4G,98.88,229.69,7,28.63927469135802,Medium Risk,0.5685287098897202,High,178
KAN-8585,9mobile,Jigawa,Kano,3G,90.87,148.75,9,41.491550925925914,Medium Risk,0.5684824395682158,High,179
ABU-5223,Glo,Abia,Abuja,2G,92.03,445.82,15,71.73317901234566,High Risk,0.5684738254249097,High,180
JOS-2469,9mobile,Borno,Jos,4G,97.59,282.24,13,32.377777777777794,Medium Risk,0.5684737688103905,High,181
ILO-1796,Glo,Abia,Ilorin,4G,98.31,403.06,15,46.80011574074074,Medium Risk,0.5684672285811213,High,182
ABA-7203,Airtel,Ondo,Aba,3G,94.89,460.08000000000004,13,59.275,Medium Risk,0.568450222581365,High,183
JOS-5741,9mobile,Kaduna,Jos,4G,98.55,116.5,8,8.989043209876552,Low Risk,0.5683664226796825,High,184
ABU-6501,Glo,Jigawa,Abuja,4G,99.03,13.97,0,3.2335648148148115,Low Risk,0.5683521389535233,High,185
ABA-4189,Airtel,Jigawa,Aba,4G,89.44,483.98,13,78.61095679012345,Critical Risk,0.5683439934523326,High,186
POR-7673,9mobile,Ebonyi,Port Harcourt,4G,93.84,261.35,12,49.69961419753086,Medium Risk,0.5682907686116859,High,187
POR-3515,9mobile,Kaduna,Port Harcourt,4G,96.33,246.67,8,47.82488425925925,Medium Risk,0.5681847427758487,High,188
ABE-5434,MTN,Oyo,Abeokuta,4G,87.12,248.54,11,34.72762345679011,Medium Risk,0.568135833488167,High,189
ABE-2719,9mobile,Akwa Ibom,Abeokuta,4G,95.14,106.41,8,12.316319444444431,Low Risk,0.5680960843513828,High,190
ABU-5545,Airtel,Jigawa,Abuja,4G,90.66,234.29000000000002,8,66.06678240740742,High Risk,0.5680574985016767,High,191
KAN-5112,Airtel,Abia,Kano,4G,96.89,326.01,14,53.688657407407405,Medium Risk,0.5678303089506722,High,192
KAN-7369,9mobile,Jigawa,Kano,4G,98.42,186.19,7,42.299884259259265,Medium Risk,0.5677834953541583,High,193
POR-7312,9mobile,Kwara,Port Harcourt,4G,94.28,141.7,10,37.70023148148148,Medium Risk,0.5676638821977329,High,194
JOS-9085,MTN,Abia,Jos,4G,87.81,298.51,14,47.31658950617286,Medium Risk,0.5676300740685114,High,195
IBA-4337,9mobile,Lagos,Ibadan,4G,97.89,91.44,8,10.583333333333329,Low Risk,0.5676140371618971,High,196
CAL-7086,Glo,Ebonyi,Calabar,4G,95.45,307.15,12,35.41658950617283,Medium Risk,0.5676022571652292,High,197
POR-1608,MTN,Akwa Ibom,Port Harcourt,3G,93.26,234.58,12,44.46682098765431,Medium Risk,0.5673794039278439,High,198
ENU-4325,Glo,Ondo,Enugu,4G,85.85,224.20999999999998,9,44.725115740740726,Medium Risk,0.5673739089309322,High,199
ABU-1373,Airtel,Edo,Abuja,4G,98.71,180.42999999999998,13,28.17214506172841,Medium Risk,0.5673722457560691,High,200
CAL-6787,9mobile,Jigawa,Calabar,4G,98.16,202.32,7,37.76666666666667,Medium Risk,0.5673025551743034,High,201
ILO-3479,9mobile,Akwa Ibom,Ilorin,4G,98.1,348.63,12,51.58356481481483,Medium Risk,0.5672952975770016,High,202
LAG-7892,9mobile,Jigawa,Lagos,4G,99.88,121.97,5,34.94178240740741,Medium Risk,0.5672653659435946,High,203
ABE-3016,Glo,Ondo,Abeokuta,4G,88.76,265.11,9,76.50868055555556,Critical Risk,0.5672306823568661,High,204
POR-5637,Airtel,Gombe,Port Harcourt,4G,91.19,353.81,14,55.90007716049382,Medium Risk,0.5671951104846802,High,205
BEN-8415,9mobile,Delta,Benin City,4G,91.15,262.8,15,45.24444444444444,Medium Risk,0.567177091418547,High,206
ABE-5635,9mobile,Delta,Abeokuta,3G,95.68,399.59999999999997,14,47.2625,Medium Risk,0.5671720316602377,High,207
ABE-3510,Glo,Kaduna,Abeokuta,2G,98.03,152.07,7,33.70034722222223,Medium Risk,0.5670426169607802,High,208
JOS-9869,Airtel,Kaduna,Jos,4G,88.62,221.47,10,41.383217592592594,Medium Risk,0.5669387073709098,High,209
LAG-5029,MTN,Katsina,Lagos,4G,90.94,354.52,12,52.98858024691357,Medium Risk,0.5668937010466816,High,210
ABE-7321,Glo,Kwara,Abeokuta,4G,94.45,101.52000000000001,8,33.02500000000001,Medium Risk,0.5668790451242995,High,211
ABE-9998,9mobile,Kaduna,Abeokuta,4G,98.76,89.72,6,10.383796296296289,Low Risk,0.5668164277583418,High,212
ABE-6889,9mobile,Ekiti,Abeokuta,3G,98.85,193.23999999999998,12,36.41080246913582,Medium Risk,0.5667846613709181,High,213
