row_id,tower_id,obs_date,operator,city,state,uptime_percentage,downtime_minutes,outage_count,outage_reason,network_type,avg_users_affected,outage_severity,reliability_status,high_risk_flag,downtime_hours,observation_month,day_of_week
28209,ILO-2946,2025-09-13,9mobile,Ilorin,Ogun,94.06,85.54,3,power_failure,4G,120,Medium,Fair,0,1.43,Sep,Saturday
28210,ENU-1540,2025-09-07,MTN,Enugu,Ogun,87.98,173.09,5,maintenance,4G,355,High,Poor,1,2.88,Sep,Sunday
28212,ENU-9208,2025-09-15,Airtel,Enugu,Enugu,90.15,141.84,3,power_failure,4G,263,High,Fair,1,2.36,Sep,Monday
28214,ONI-1299,2025-09-23,MTN,Onitsha,FCT,86.60,192.96,5,fiber_cut,4G,407,High,Poor,1,3.22,Sep,Tuesday
28215,CAL-5175,2025-09-14,9mobile,Calabar,Delta,93.93,87.41,4,power_failure,4G,383,High,Fair,1,1.46,Sep,Sunday
28216,IBA-4901,2025-09-29,MTN,Ibadan,Kogi,86.59,193.10,1,weather,4G,419,High,Poor,1,3.22,Sep,Monday
52703,KAN-1152,2025-09-15,Airtel,Kano,Sokoto,90.05,143.28,2,fiber_cut,3G,204,High,Fair,1,2.39,Sep,Monday
52705,ILO-4178,2025-09-30,MTN,Ilorin,Sokoto,90.01,143.86,3,power_failure,3G,104,High,Fair,1,2.40,Sep,Tuesday
52706,ABA-8022,2025-09-07,Airtel,Aba,Yobe,90.22,140.83,1,fiber_cut,3G,432,High,Fair,1,2.35,Sep,Sunday
52707,LAG-7406,2025-09-21,Glo,Lagos,Ondo,91.73,119.09,2,fiber_cut,4G,80,Medium,Fair,0,1.98,Sep,Sunday
52708,ONI-2391,2025-09-10,9mobile,Onitsha,Ogun,90.37,138.67,0,maintenance,4G,263,High,Fair,1,2.31,Sep,Wednesday
52709,WAR-6886,2025-09-17,MTN,Warri,Yobe,94.22,83.23,0,power_failure,3G,326,Medium,Fair,0,1.39,Sep,Wednesday
52710,ENU-9250,2025-09-08,Glo,Enugu,Kano,85.37,210.67,2,equipment_fault,3G,440,High,Poor,1,3.51,Sep,Monday
18911,ENU-2132,2025-09-24,Glo,Enugu,Ondo,89.24,154.94,1,power_failure,5G,347,High,Poor,1,2.58,Sep,Wednesday
18912,JOS-7469,2025-10-01,Airtel,Jos,Sokoto,87.20,184.32,2,power_failure,5G,54,High,Poor,1,3.07,Oct,Wednesday
18913,KAD-2588,2025-09-09,Airtel,Kaduna,Delta,85.98,201.89,4,equipment_fault,4G,479,High,Poor,1,3.36,Sep,Tuesday
64293,ABU-6847,2025-09-11,Glo,Abuja,Ondo,87.43,181.01,2,equipment_fault,4G,72,High,Poor,1,3.02,Sep,Thursday
64294,KAN-5087,2025-09-25,Glo,Kano,Ogun,94.41,80.50,3,power_failure,4G,274,Medium,Fair,0,1.34,Sep,Thursday
64296,ENU-5779,2025-09-28,Airtel,Enugu,Adamawa,91.93,116.21,0,equipment_fault,4G,310,Medium,Fair,0,1.94,Sep,Sunday
64297,JOS-8771,2025-09-29,Airtel,Jos,Anambra,86.97,187.63,4,equipment_fault,3G,122,High,Poor,1,3.13,Sep,Monday
64298,BEN-7669,2025-09-10,Glo,Benin City,Oyo,91.71,119.38,0,maintenance,4G,118,Medium,Fair,0,1.99,Sep,Wednesday
64301,CAL-9079,2025-09-05,Airtel,Calabar,Yobe,85.28,211.97,3,power_failure,4G,232,High,Poor,1,3.53,Sep,Friday
64302,JOS-2464,2025-09-11,Airtel,Jos,Benue,90.85,131.76,0,power_failure,4G,439,High,Fair,1,2.20,Sep,Thursday
64303,BEN-1488,2025-09-15,Airtel,Benin City,FCT,87.82,175.39,1,power_failure,4G,218,High,Poor,1,2.92,Sep,Monday
64304,ABU-1821,2025-09-05,Airtel,Abuja,Kaduna,91.33,124.85,3,power_failure,3G,144,High,Fair,1,2.08,Sep,Friday
64305,CAL-1755,2025-09-23,Airtel,Calabar,Yobe,94.74,75.74,0,fiber_cut,3G,494,Medium,Fair,0,1.26,Sep,Tuesday
64306,WAR-6770,2025-09-23,MTN,Warri,Katsina,87.40,181.44,0,power_failure,4G,169,High,Poor,1,3.02,Sep,Tuesday
64308,BEN-2832,2025-09-24,Airtel,Benin City,Benue,93.60,92.16,0,equipment_fault,4G,111,Medium,Fair,0,1.54,Sep,Wednesday
64309,JOS-1233,2025-09-16,MTN,Jos,Katsina,91.67,119.95,1,power_failure,3G,184,Medium,Fair,0,2.00,Sep,Tuesday
64310,ILO-4448,2025-09-06,Airtel,Ilorin,Osun,90.26,140.26,5,equipment_fault,4G,377,High,Fair,1,2.34,Sep,Saturday
64312,ENU-7928,2025-09-01,Airtel,Enugu,Oyo,87.47,180.43,5,power_failure,4G,120,High,Poor,1,3.01,Sep,Monday
64315,ABU-1995,2025-09-06,MTN,Abuja,Katsina,86.14,199.58,4,weather,4G,499,High,Poor,1,3.33,Sep,Saturday
64316,BEN-5570,2025-09-04,Glo,Benin City,Osun,92.94,101.66,3,power_failure,4G,147,Medium,Fair,0,1.69,Sep,Thursday
43557,JOS-2016,2025-09-23,9mobile,Jos,Kebbi,91.40,123.84,4,weather,4G,437,High,Fair,1,2.06,Sep,Tuesday
52711,CAL-5859,2025-09-02,Glo,Calabar,Yobe,88.39,167.18,5,power_failure,4G,428,High,Poor,1,2.79,Sep,Tuesday
52712,KAN-8523,2025-09-03,Glo,Kano,Delta,85.75,205.20,4,weather,4G,333,High,Poor,1,3.42,Sep,Wednesday
52713,ONI-5489,2025-09-11,MTN,Onitsha,Nasarawa,89.86,146.02,2,power_failure,4G,459,High,Poor,1,2.43,Sep,Thursday
52714,IBA-9940,2025-09-05,Airtel,Ibadan,Kaduna,93.20,97.92,2,weather,4G,197,Medium,Fair,0,1.63,Sep,Friday
52715,IBA-5089,2025-09-06,MTN,Ibadan,FCT,94.70,76.32,3,maintenance,4G,104,Medium,Fair,0,1.27,Sep,Saturday
52718,WAR-6796,2025-09-19,9mobile,Warri,Rivers,88.87,160.27,3,maintenance,4G,151,High,Poor,1,2.67,Sep,Friday
52719,CAL-1776,2025-09-30,9mobile,Calabar,Adamawa,91.05,128.88,0,maintenance,4G,471,High,Fair,1,2.15,Sep,Tuesday
52720,ABE-9708,2025-09-17,MTN,Abeokuta,Kogi,89.13,156.53,5,equipment_fault,4G,445,High,Poor,1,2.61,Sep,Wednesday
52721,ILO-7495,2025-09-24,Airtel,Ilorin,Ekiti,90.30,139.68,2,power_failure,2G,105,High,Fair,1,2.33,Sep,Wednesday
28217,KAD-1856,2025-09-23,MTN,Kaduna,Anambra,88.39,167.18,5,maintenance,4G,53,High,Poor,1,2.79,Sep,Tuesday
28218,ABU-9739,2025-09-21,9mobile,Abuja,Kogi,88.85,160.56,0,weather,4G,177,High,Poor,1,2.68,Sep,Sunday
28219,ABE-6680,2025-09-08,Glo,Abeokuta,Cross River,87.54,179.42,1,power_failure,4G,434,High,Poor,1,2.99,Sep,Monday
28221,ABE-5839,2025-09-08,Glo,Abeokuta,Niger,91.96,115.78,1,power_failure,4G,419,Medium,Fair,0,1.93,Sep,Monday
76956,KAN-3927,2025-09-21,MTN,Kano,Kwara,97.06,42.34,2,unknown,3G,0,Medium,Good,0,0.71,Sep,Sunday
64318,ABE-3829,2025-10-01,MTN,Abeokuta,Anambra,85.42,209.95,0,maintenance,4G,65,High,Poor,1,3.50,Oct,Wednesday
64319,ABA-8803,2025-09-13,Airtel,Aba,Enugu,85.39,210.38,2,weather,4G,108,High,Poor,1,3.51,Sep,Saturday
64321,ONI-6571,2025-09-06,Glo,Onitsha,Rivers,89.98,144.29,5,power_failure,3G,413,High,Poor,1,2.40,Sep,Saturday
64322,ILO-7718,2025-10-01,Glo,Ilorin,Anambra,91.40,123.84,5,power_failure,4G,109,High,Fair,1,2.06,Oct,Wednesday
64328,LAG-5818,2025-09-13,Glo,Lagos,Abia,86.08,200.45,5,power_failure,4G,500,High,Poor,1,3.34,Sep,Saturday
64329,ILO-8766,2025-09-12,MTN,Ilorin,Plateau,86.50,194.40,5,power_failure,4G,61,High,Poor,1,3.24,Sep,Friday
43533,BEN-3833,2025-09-24,Glo,Benin City,Adamawa,93.69,90.86,0,power_failure,4G,472,Medium,Fair,0,1.51,Sep,Wednesday
43534,CAL-9131,2025-09-17,MTN,Calabar,Plateau,88.55,164.88,3,power_failure,4G,352,High,Poor,1,2.75,Sep,Wednesday
43535,JOS-2871,2025-09-04,MTN,Jos,Nasarawa,86.81,189.94,2,power_failure,4G,191,High,Poor,1,3.17,Sep,Thursday
39,CAL-7980,2025-09-13,9mobile,Calabar,Taraba,93.41,94.90,0,equipment_fault,4G,340,Medium,Fair,0,1.58,Sep,Saturday
40,ABA-4188,2025-09-17,Glo,Aba,Oyo,88.78,161.57,3,power_failure,4G,384,High,Poor,1,2.69,Sep,Wednesday
41,ABA-8608,2025-09-06,9mobile,Aba,Katsina,88.00,172.80,2,power_failure,4G,349,High,Poor,1,2.88,Sep,Saturday
45,ABA-6209,2025-09-03,Glo,Aba,Kogi,88.98,158.69,2,fiber_cut,4G,328,High,Poor,1,2.64,Sep,Wednesday
46,ONI-2672,2025-09-20,MTN,Onitsha,Rivers,87.91,174.10,1,power_failure,4G,97,High,Poor,1,2.90,Sep,Saturday
50,LAG-6111,2025-09-14,Glo,Lagos,Yobe,87.46,180.58,0,power_failure,4G,168,High,Poor,1,3.01,Sep,Sunday
51,ABU-1199,2025-09-09,Glo,Abuja,Ondo,94.92,73.15,4,power_failure,3G,100,High,Fair,1,1.22,Sep,Tuesday
53,ABU-9793,2025-09-20,Airtel,Abuja,Ondo,88.35,167.76,3,maintenance,4G,222,High,Poor,1,2.80,Sep,Saturday
28222,KAD-2709,2025-09-01,9mobile,Kaduna,Edo,86.27,197.71,4,maintenance,4G,334,High,Poor,1,3.30,Sep,Monday
28223,WAR-2745,2025-09-04,Glo,Warri,Adamawa,91.52,122.11,5,fiber_cut,3G,426,High,Fair,1,2.04,Sep,Thursday
28224,KAN-2372,2025-09-05,Glo,Kano,Lagos,89.56,150.34,3,equipment_fault,3G,389,High,Poor,1,2.51,Sep,Friday
73900,KAD-9518,2025-09-08,Airtel,Kaduna,Bauchi,91.21,126.58,4,maintenance,4G,436,High,Fair,1,2.11,Sep,Monday
73901,ILO-1233,2025-09-10,Airtel,Ilorin,Yobe,86.88,188.93,0,weather,4G,269,High,Poor,1,3.15,Sep,Wednesday
73902,KAD-2348,2025-09-15,MTN,Kaduna,Abia,88.87,160.27,0,equipment_fault,4G,403,High,Poor,1,2.67,Sep,Monday
73903,ABE-3364,2025-09-01,Airtel,Abeokuta,FCT,92.23,111.89,1,equipment_fault,4G,376,Medium,Fair,0,1.86,Sep,Monday
73904,POR-1284,2025-09-07,MTN,Port Harcourt,Anambra,88.03,172.37,2,equipment_fault,4G,225,High,Poor,1,2.87,Sep,Sunday
73905,ILO-4668,2025-09-02,Glo,Ilorin,Edo,93.00,100.80,1,fiber_cut,4G,354,Medium,Fair,0,1.68,Sep,Tuesday
73906,WAR-4924,2025-09-27,9mobile,Warri,Yobe,91.41,123.70,4,power_failure,4G,302,High,Fair,1,2.06,Sep,Saturday
73907,POR-1555,2025-09-30,MTN,Port Harcourt,Yobe,85.12,214.27,0,equipment_fault,3G,343,High,Poor,1,3.57,Sep,Tuesday
73908,ILO-3389,2025-09-29,Airtel,Ilorin,Enugu,90.69,134.06,1,fiber_cut,4G,436,High,Fair,1,2.23,Sep,Monday
73909,LAG-1950,2025-09-16,Glo,Lagos,Bayelsa,90.64,134.78,2,maintenance,4G,370,High,Fair,1,2.25,Sep,Tuesday
73910,ENU-5957,2025-09-19,Airtel,Enugu,Bauchi,91.10,128.16,5,fiber_cut,4G,143,High,Fair,1,2.14,Sep,Friday
73912,IBA-3424,2025-09-12,MTN,Ibadan,Borno,94.27,82.51,3,equipment_fault,4G,474,Medium,Fair,0,1.38,Sep,Friday
73913,ONI-2776,2025-09-01,9mobile,Onitsha,Bauchi,89.74,147.74,4,power_failure,4G,417,High,Poor,1,2.46,Sep,Monday
73914,ABA-4409,2025-09-28,9mobile,Aba,Kogi,85.99,201.74,2,power_failure,4G,55,High,Poor,1,3.36,Sep,Sunday
73915,CAL-1284,2025-09-18,Glo,Calabar,Kano,91.45,123.12,0,equipment_fault,4G,170,High,Fair,1,2.05,Sep,Thursday
73916,ENU-8281,2025-09-08,9mobile,Enugu,Yobe,89.43,152.21,4,fiber_cut,3G,326,High,Poor,1,2.54,Sep,Monday
73918,WAR-4176,2025-09-16,Glo,Warri,Anambra,94.52,78.91,1,power_failure,4G,329,Medium,Fair,0,1.32,Sep,Tuesday
73919,WAR-9082,2025-09-12,Glo,Warri,Benue,90.65,134.64,2,fiber_cut,4G,276,High,Fair,1,2.24,Sep,Friday
73921,BEN-8865,2025-09-27,9mobile,Benin City,Oyo,94.21,83.38,1,maintenance,4G,113,Medium,Fair,0,1.39,Sep,Saturday
54,ILO-8491,2025-09-30,MTN,Ilorin,FCT,91.48,122.69,1,equipment_fault,4G,315,High,Fair,1,2.04,Sep,Tuesday
